wl,nr,ni
0.1272,0.318,1.45
0.1305,0.332,1.51
0.134,0.348,1.58
0.1378,0.367,1.66
0.1417,0.389,1.73
0.1459,0.414,1.82
0.1503,0.444,1.9
0.155,0.478,2
0.16,0.517,2.1
0.1653,0.563,2.21
0.171,0.618,2.32
0.1771,0.682,2.45
0.1837,0.756,2.58
0.1907,0.847,2.73
0.1984,0.968,2.89
0.2066,1.01,2.909
0.2073,1.036,2.928
0.208,1.046,2.944
0.2087,1.066,2.937
0.2094,1.07,2.963
0.2101,1.083,2.982
0.2109,1.088,2.987
0.2116,1.102,3.005
0.2123,1.109,3.015
0.213,1.119,3.025
0.2138,1.133,3.045
0.2145,1.139,3.061
0.2153,1.155,3.073
0.216,1.164,3.086
0.2168,1.175,3.102
0.2175,1.18,3.112
0.2183,1.195,3.135
0.2191,1.211,3.15
0.2198,1.222,3.169
0.2206,1.235,3.19
0.2214,1.247,3.206
0.2222,1.265,3.228
0.223,1.28,3.245
0.2238,1.299,3.267
0.2246,1.319,3.285
0.2254,1.34,3.302
0.2263,1.362,3.319
0.2271,1.389,3.334
0.2279,1.416,3.35
0.2288,1.445,3.359
0.2296,1.471,3.366
0.2305,1.502,3.368
0.2313,1.526,3.368
0.2322,1.548,3.364
0.2331,1.566,3.358
0.2339,1.579,3.353
0.2348,1.585,3.346
0.2357,1.59,3.344
0.2366,1.591,3.344
0.2375,1.592,3.347
0.2384,1.589,3.354
0.2394,1.586,3.363
0.2403,1.582,3.376
0.2412,1.579,3.389
0.2422,1.573,3.408
0.2431,1.571,3.429
0.2441,1.57,3.451
0.245,1.569,3.477
0.246,1.568,3.504
0.247,1.569,3.533
0.248,1.57,3.565
0.249,1.575,3.598
0.25,1.58,3.632
0.251,1.584,3.67
0.252,1.591,3.709
0.253,1.597,3.749
0.2541,1.608,3.789
0.2551,1.618,3.835
0.2562,1.629,3.88
0.2572,1.643,3.928
0.2583,1.658,3.979
0.2594,1.673,4.031
0.2605,1.692,4.088
0.2616,1.713,4.149
0.2627,1.737,4.211
0.2638,1.764,4.278
0.2649,1.794,4.35
0.2661,1.831,4.426
0.2672,1.874,4.506
0.2684,1.927,4.59
0.2695,1.988,4.678
0.2707,2.059,4.764
0.2719,2.14,4.849
0.2731,2.234,4.933
0.2743,2.339,5.011
0.2755,2.451,5.082
0.2768,2.572,5.148
0.278,2.7,5.206
0.2792,2.833,5.257
0.2805,2.974,5.304
0.2818,3.12,5.344
0.2831,3.277,5.381
0.2844,3.444,5.414
0.2857,3.634,5.435
0.287,3.849,5.439
0.2883,4.086,5.395
0.2897,4.318,5.301
0.291,4.525,5.158
0.2924,4.686,4.989
0.2938,4.805,4.812
0.2952,4.888,4.639
0.2966,4.941,4.48
0.298,4.977,4.335
0.2995,4.999,4.204
0.3009,5.012,4.086
0.3024,5.02,3.979
0.3039,5.021,3.885
0.3054,5.02,3.798
0.3069,5.018,3.72
0.3084,5.015,3.65
0.31,5.01,3.587
0.3115,5.009,3.529
0.3131,5.01,3.477
0.3147,5.009,3.43
0.3163,5.012,3.39
0.3179,5.016,3.35
0.3195,5.021,3.31
0.3212,5.029,3.28
0.3229,5.04,3.24
0.3246,5.052,3.21
0.3263,5.065,3.18
0.328,5.079,3.15
0.3297,5.095,3.13
0.3315,5.115,3.1
0.3333,5.134,3.08
0.3351,5.156,3.06
0.3369,5.179,3.04
0.3388,5.204,3.02
0.3406,5.231,3.01
0.3425,5.261,3
0.3444,5.296,2.99
0.3463,5.336,2.98
0.3483,5.383,2.98
0.3502,5.442,2.99
0.3522,5.515,3
0.3542,5.61,3.01
0.3563,5.733,3.03
0.3583,5.894,3.02
0.3604,6.089,2.98
0.3625,6.308,2.88
0.3647,6.522,2.71
0.3668,6.695,2.46
0.369,6.796,2.17
0.3712,6.829,1.87
0.3734,6.799,1.58
0.3757,6.709,1.32
0.378,6.585,1.11
0.3803,6.452,0.945
0.3827,6.316,0.815
0.385,6.185,0.714
0.3875,6.062,0.63
0.3899,5.948,0.561
0.3924,5.842,0.505
0.3949,5.744,0.456
0.3974,5.654,0.416
0.4,5.57,0.387
0.4025,5.493,0.355
0.4052,5.42,0.329
0.4078,5.349,0.313
0.4105,5.284,0.291
0.4133,5.222,0.269
0.4161,5.164,0.255
0.4189,5.109,0.244
0.4217,5.058,0.228
0.4246,5.009,0.211
0.4275,4.961,0.203
0.4305,4.916,0.194
0.4335,4.872,0.185
0.4366,4.831,0.185
0.4397,4.791,0.17
0.4428,4.753,0.163
0.446,4.718,0.149
0.4492,4.682,0.149
0.4525,4.648,0.133
0.4558,4.615,0.131
0.4592,4.583,0.13
0.4626,4.553,0.131
0.4661,4.522,0.134
0.4696,4.495,0.12
0.4732,4.466,0.12
0.4769,4.442,0.09
0.4806,4.416,0.094
0.4843,4.391,0.083
0.4881,4.367,0.079
0.492,4.343,0.077
0.4959,4.32,0.073
0.4999,4.298,0.073
0.504,4.277,0.066
0.5081,4.255,0.072
0.5123,4.235,0.06
0.5166,4.215,0.06
0.5209,4.196,0.056
0.5254,4.177,0.053
0.5299,4.159,0.043
0.5344,4.14,0.045
0.5391,4.123,0.048
0.5438,4.106,0.044
0.5486,4.089,0.044
0.5535,4.073,0.032
0.5585,4.057,0.038
0.5636,4.042,0.032
0.5687,4.026,0.034
0.574,4.012,0.03
0.5794,3.997,0.027
0.5848,3.983,0.03
0.5904,3.969,0.03
0.5961,3.956,0.027
0.6019,3.943,0.025
0.6078,3.931,0.025
0.6138,3.918,0.024
0.6199,3.906,0.022
0.6262,3.893,0.022
0.6326,3.882,0.019
0.6391,3.87,0.018
0.6458,3.858,0.017
0.6526,3.847,0.016
0.6595,3.837,0.016
0.6666,3.826,0.015
0.6738,3.815,0.014
0.6812,3.805,0.013
0.6888,3.796,0.013
0.6965,3.787,0.013
0.7045,3.778,0.012
0.7126,3.768,0.011
0.7208,3.761,0.011
0.7293,3.752,0.01
0.738,3.745,0.01
0.7469,3.736,0.009
0.756,3.728,0.009
0.7653,3.721,0.008
0.7749,3.714,0.008
0.7847,3.705,0.007
0.7948,3.697,0.007
0.8051,3.688,0.006
0.8157,3.681,0.006
0.8266,3.673,0.005
0.8551,3.6429,0.00329
0.8856,3.6254,0.00247
0.9184,3.6087,0.00175
0.9537,3.5926,0.00111
0.9919,3.5773,0.000587
1.033,3.5628,0.000221
1.078,3.5491,0.0000555
1.127,3.5362,0.0000139
1.144,3.5295,0
1.2,3.5193,0
1.372,3.5007,0
1.4,3.4876,0
1.532,3.4784,0
1.6,3.471,0
1.696,3.4644,0
1.8,3.4578,0
2,3.449,0
2.4373,3.4434,0
2.5,3.4424,0
2.7144,3.4393,0.0000000025
3,3.4361,0
3.3033,3.4335,0
3.4188,3.4327,0
3.5,3.4321,0
4,3.4294,0
5,3.4261,0.000000199
6,3.4242,0
7,3.4231,0
8,3.4224,0.0000153
9,3.4219,0
10,3.4215,0.0000676
13.5,3.4209,0
14.5,3.4208,0
15,3.4207,0
20,3.4204,0.000286
25,3.4201,0.0000915
30.3,3.42,0
40,3.4199,0
50,3.4197,0
62.5,3.4195,0.00017
71.43,3.4192,0.00019
83.33,3.419,0.00023
100,3.4185,0.00029
125,3.418,0.00043
166.7,3.417,0.00072
200,3.4165,0.001
250,3.416,0.0014
